Statistical profiling result from isolate-0x55934cebc000-29050-v8.log, (164934 ticks, 31979 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   1377    0.8%          /usr/lib/x86_64-linux-gnu/libc.so.6
    241    0.1%          [vdso]
     52    0.0%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
     31    0.0%          /usr/lib/x86_64-linux-gnu/libm.so.6
      5    0.0%          /home/linuxbrew/.linuxbrew/Cellar/icu4c@75/75.1/lib/libicui18n.so.75.1

 [JavaScript]:
   ticks  total  nonlib   name
   8534    5.2%    5.2%  Builtin: LoadIC_Megamorphic
   3867    2.3%    2.4%  Builtin: KeyedLoadIC_Megamorphic
   2601    1.6%    1.6%  Builtin: LoadIC
   2527    1.5%    1.5%  Builtin: KeyedStoreIC_Megamorphic
   2024    1.2%    1.2%  Builtin: GetProperty
   1909    1.2%    1.2%  Builtin: LoadICTrampoline_Megamorphic
   1613    1.0%    1.0%  Builtin: ResumeGeneratorTrampoline
   1582    1.0%    1.0%  Builtin: CreateDataProperty
   1567    1.0%    1.0%  Builtin: StoreIC_Megamorphic
   1560    0.9%    1.0%  Builtin: CompileLazy
   1116    0.7%    0.7%  Builtin: CallFunction_ReceiverIsAny
    897    0.5%    0.5%  JS: *deserializeObject /home/adrian/Brokeify/server/node_modules/bson/lib/bson.cjs:3057:27
    766    0.5%    0.5%  Builtin: RecordWriteSaveFP
    682    0.4%    0.4%  Builtin: SetDataProperties
    569    0.3%    0.3%  Builtin: FulfillPromise
    556    0.3%    0.3%  JS: *Document /home/adrian/Brokeify/server/node_modules/mongoose/lib/document.js:89:18
    550    0.3%    0.3%  Builtin: CopyDataProperties
    537    0.3%    0.3%  Builtin: LoadICTrampoline
    520    0.3%    0.3%  Builtin: FindOrderedHashSetEntry
    518    0.3%    0.3%  Builtin: ObjectKeys
    509    0.3%    0.3%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
    503    0.3%    0.3%  Builtin: LoadGlobalIC
    499    0.3%    0.3%  JS: *serializeInto /home/adrian/Brokeify/server/node_modules/bson/lib/bson.cjs:3736:23
    490    0.3%    0.3%  JS: *completeOne /home/adrian/Brokeify/server/node_modules/mongoose/lib/query.js:3247:21
    475    0.3%    0.3%  JS: *applyDefaults /home/adrian/Brokeify/server/node_modules/mongoose/lib/helpers/document/applyDefaults.js:5:40
    427    0.3%    0.3%  Builtin: JSConstructStubGeneric
    410    0.2%    0.3%  JS: *readMany /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/connection.js:417:20
    398    0.2%    0.2%  Builtin: ObjectPrototypeHasOwnProperty
    395    0.2%    0.2%  Builtin: RunMicrotasks
    391    0.2%    0.2%  JS: *command /home/adrian/Brokeify/server/node_modules/mongodb/lib/sdam/server.js:130:18
    378    0.2%    0.2%  Builtin: CloneObjectIC
    371    0.2%    0.2%  JS: *sendWire /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/connection.js:225:20
    362    0.2%    0.2%  Builtin: FindNonDefaultConstructorOrConstruct
    360    0.2%    0.2%  JS: *executeOperation /home/adrian/Brokeify/server/node_modules/mongodb/lib/operations/execute_operation.js:32:32
    349    0.2%    0.2%  Builtin: ArrayPrototypeJoin
    347    0.2%    0.2%  JS: *sendCommand /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/connection.js:261:23
    347    0.2%    0.2%  Builtin: JSBuiltinsConstructStub
    346    0.2%    0.2%  JS: *parseToElements /home/adrian/Brokeify/server/node_modules/bson/lib/bson.cjs:4396:25
    345    0.2%    0.2%  JS: *exec /home/adrian/Brokeify/server/node_modules/mongoose/lib/query.js:4403:43
    316    0.2%    0.2%  JS: *_findOne /home/adrian/Brokeify/server/node_modules/mongoose/lib/query.js:2646:51
    314    0.2%    0.2%  Builtin: CallFunction_ReceiverIsNullOrUndefined
    310    0.2%    0.2%  JS: *next /home/adrian/Brokeify/server/node_modules/mongodb/lib/cursor/abstract_cursor.js:331:15
