Statistical profiling result from isolate-0x557c6d30e000-78503-v8.log, (213525 ticks, 43771 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   2437    1.1%          /usr/lib/x86_64-linux-gnu/libc.so.6
    437    0.2%          [vdso]
     63    0.0%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
     50    0.0%          /usr/lib/x86_64-linux-gnu/libm.so.6
      3    0.0%          /home/linuxbrew/.linuxbrew/Cellar/icu4c@75/75.1/lib/libicui18n.so.75.1

 [JavaScript]:
   ticks  total  nonlib   name
  10588    5.0%    5.0%  Builtin: LoadIC_Megamorphic
   4268    2.0%    2.0%  Builtin: KeyedLoadIC_Megamorphic
   3207    1.5%    1.5%  Builtin: KeyedStoreIC_Megamorphic
   3051    1.4%    1.4%  Builtin: LoadIC
   2536    1.2%    1.2%  Builtin: LoadICTrampoline_Megamorphic
   2189    1.0%    1.0%  Builtin: GetProperty
   2006    0.9%    1.0%  Builtin: ResumeGeneratorTrampoline
   1913    0.9%    0.9%  Builtin: CreateDataProperty
   1797    0.8%    0.9%  Builtin: CompileLazy
   1681    0.8%    0.8%  Builtin: StoreIC_Megamorphic
   1212    0.6%    0.6%  Builtin: CallFunction_ReceiverIsAny
   1046    0.5%    0.5%  JS: *deserializeObject /home/adrian/Brokeify/server/node_modules/bson/lib/bson.cjs:3057:27
    958    0.4%    0.5%  Builtin: RecordWriteSaveFP
    805    0.4%    0.4%  Builtin: FulfillPromise
    779    0.4%    0.4%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
    749    0.4%    0.4%  Builtin: SetDataProperties
    732    0.3%    0.3%  JS: *prune /home/adrian/Brokeify/server/node_modules/mongodb/lib/utils.js:603:10
    659    0.3%    0.3%  Builtin: JSConstructStubGeneric
    636    0.3%    0.3%  JS: *readMany /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/connection.js:417:20
    631    0.3%    0.3%  Builtin: ObjectKeys
    609    0.3%    0.3%  Builtin: LoadGlobalIC
    578    0.3%    0.3%  JS: *serializeInto /home/adrian/Brokeify/server/node_modules/bson/lib/bson.cjs:3736:23
    574    0.3%    0.3%  JS: *Document /home/adrian/Brokeify/server/node_modules/mongoose/lib/document.js:89:18
    569    0.3%    0.3%  Builtin: ObjectPrototypeHasOwnProperty
    562    0.3%    0.3%  JS: *sendWire /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/connection.js:225:20
    545    0.3%    0.3%  Builtin: FindNonDefaultConstructorOrConstruct
    535    0.3%    0.3%  Builtin: FindOrderedHashSetEntry
    530    0.2%    0.3%  Builtin: CopyDataProperties
    526    0.2%    0.2%  Builtin: RunMicrotasks
    521    0.2%    0.2%  Builtin: LoadICTrampoline
    520    0.2%    0.2%  JS: *applyDefaults /home/adrian/Brokeify/server/node_modules/mongoose/lib/helpers/document/applyDefaults.js:5:40
    514    0.2%    0.2%  JS: *completeOne /home/adrian/Brokeify/server/node_modules/mongoose/lib/query.js:3247:21
    502    0.2%    0.2%  Builtin: CloneObjectIC
    455    0.2%    0.2%  Builtin: JSBuiltinsConstructStub
    445    0.2%    0.2%  Builtin: ArrayPrototypeJoin
    431    0.2%    0.2%  JS: *parseToElements /home/adrian/Brokeify/server/node_modules/bson/lib/bson.cjs:4396:25
    416    0.2%    0.2%  JS: *sendCommand /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/connection.js:261:23
    390    0.2%    0.2%  Builtin: CreateTypedArray
    379    0.2%    0.2%  JS: *command /home/adrian/Brokeify/server/node_modules/mongodb/lib/sdam/server.js:130:18
    374    0.2%    0.2%  JS: *checkIn /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/connection_pool.js:179:12
    373    0.2%    0.2%  JS: *executeOperation /home/adrian/Brokeify/server/node_modules/mongodb/lib/operations/execute_operation.js:32:32
    360    0.2%    0.2%  JS: *ObjectId /home/adrian/Brokeify/server/node_modules/bson/lib/bson.cjs:2492:16
    359    0.2%    0.2%  JS: *exec /home/adrian/Brokeify/server/node_modules/mongoose/lib/query.js:4403:43
    353    0.2%    0.2%  Builtin: Call_ReceiverIsAny
    350    0.2%    0.2%  JS: *processTicksAndRejections node:internal/process/task_queues:72:35
    350    0.2%    0.2%  Builtin: CallFunction_ReceiverIsNullOrUndefined
    341    0.2%    0.2%  JS: *cursorInit /home/adrian/Brokeify/server/node_modules/mongodb/lib/cursor/abstract_cursor.js:625:21
    335    0.2%    0.2%  JS: *endSession /home/adrian/Brokeify/server/node_modules/mongodb/lib/sessions.js:123:21
